date,weighted_score,resistance_count,support_count,no_touch_count,total_stocks
2025-01-02,-12.27,76,261,659,996
2025-01-03,-12.25,104,292,600,997
2025-01-06,-11.67,101,276,619,997
2025-01-07,-9.4,84,223,689,997
2025-01-08,-11.04,104,269,623,997
2025-01-09,-2.96,121,166,709,997
2025-01-10,-3.58,142,196,658,998
2025-01-13,-14.44,100,312,584,998
2025-01-14,-5.58,107,185,704,998
2025-01-15,1.82,119,91,786,998
2025-01-16,4.04,135,75,786,998
2025-01-17,0.98,89,75,832,998
2025-01-20,5.98,127,39,830,998
2025-01-21,2.68,102,66,828,998
2025-01-22,-2.02,70,104,822,998
2025-01-23,4.85,122,57,817,1000
2025-01-24,-0.18,80,88,828,1000
2025-01-27,3.72,105,55,836,1000
2025-02-05,1.33,78,61,857,1000
2025-02-06,2.95,103,63,830,1000
2025-02-07,8.79,159,38,799,1000
2025-02-10,6.94,134,38,825,1000
2025-02-11,5.26,117,47,833,1000
2025-02-12,3.4,99,57,841,1000
2025-02-13,6.28,118,39,840,1000
2025-02-14,4.17,102,53,844,1000
2025-02-17,2.82,96,58,846,1000
2025-02-18,1.53,91,77,832,1000
2025-02-19,1.22,96,86,818,1000
2025-02-20,2.37,107,79,814,1000
2025-02-21,4.81,135,78,787,1000
2025-02-24,4.13,136,85,779,1000
2025-02-25,2.3,138,109,753,1000
2025-02-26,1.88,121,100,779,1000
2025-02-27,3.1,121,86,793,1000
2025-02-28,-0.11,107,115,778,1000
2025-03-03,-2.27,85,118,797,1000
2025-03-04,-3.03,78,121,801,1000
2025-03-05,2.01,120,89,791,1000
2025-03-06,5.84,135,53,812,1000
2025-03-07,6.29,138,55,807,1000
2025-03-10,6.14,135,57,808,1000
2025-03-11,0.53,95,91,814,1000
2025-03-12,7.34,129,37,834,1000
2025-03-13,-1.41,83,116,801,1000
2025-03-14,1.73,100,91,809,1000
2025-03-17,6.65,121,39,840,1000
2025-03-18,6.71,120,38,842,1000
2025-03-19,4.01,94,51,855,1000
2025-03-20,5.39,109,48,843,1000
2025-03-21,1.96,108,98,794,1000
2025-03-24,-3.96,80,147,773,1000
2025-03-25,-1.91,86,125,789,1000
2025-03-26,1.63,98,83,819,1000
2025-03-27,0.36,91,97,812,1000
2025-03-28,0.15,76,76,848,1000
2025-03-31,-4.99,74,156,770,1000
2025-04-01,0.43,97,100,803,1000
2025-04-02,0.39,80,86,834,1000
2025-04-03,-2.09,81,117,802,1000
2025-04-07,-38.6,59,568,373,1000
2025-04-08,-29.05,111,500,389,1000
2025-04-09,-34.59,101,567,332,1000
2025-04-10,-6.88,180,245,575,1000
2025-04-11,-9.23,139,241,620,1000
2025-04-14,-1.09,149,146,705,1000
2025-04-15,-2.76,126,153,721,1000
2025-04-16,-12.39,93,253,654,1000
2025-04-17,-9.45,89,217,694,1000
2025-04-18,-9.84,60,192,748,1000
2025-04-21,-1.44,127,142,731,1000
2025-04-22,5.53,141,63,796,1000
2025-04-23,7.83,161,46,793,1000
2025-04-24,-0.09,101,105,794,1000
2025-04-25,-0.55,87,96,817,1000
2025-04-28,-6.66,68,155,777,1000
2025-04-29,-8.33,64,170,766,1000
2025-04-30,-0.33,110,110,780,1000
2025-05-06,5.52,138,57,805,1000
2025-05-07,10.32,187,37,776,1000
2025-05-08,5.61,124,43,833,1000
2025-05-09,4.29,107,48,845,1000
2025-05-12,2.41,84,55,861,1000
2025-05-13,5.15,103,35,862,1000
2025-05-14,4.02,91,38,871,1000
2025-05-15,3.52,84,44,872,1000
2025-05-16,0.45,66,66,868,1000
2025-05-19,0.28,68,73,859,1000
2025-05-20,3.95,89,41,870,1000
2025-05-21,4.12,80,31,889,1000
2025-05-22,1.77,85,68,847,1000
2025-05-23,0.08,95,101,804,1000
2025-05-26,-5.47,51,128,821,1000
2025-05-27,-5.38,50,123,827,1000
2025-05-28,-4.28,58,118,824,1000
2025-05-29,-1.03,75,92,833,1000
2025-05-30,0.77,81,79,840,1000
2025-06-03,-2.37,89,128,783,1000
2025-06-04,2.69,100,71,829,1000
2025-06-05,5.31,110,47,843,1000
2025-06-06,4.81,101,40,859,1000
2025-06-09,5.36,101,33,866,1000
2025-06-10,4.1,108,59,833,1000
2025-06-11,4.18,86,35,879,1000
2025-06-12,5.96,108,36,856,1000
2025-06-13,1.85,106,88,806,1000
2025-06-16,-0.45,84,96,820,1000
