date,code,open,high,low,close,volume,amount,adjustflag,股票代码,股票名称
2023-12-07,sz.300917,26.4759462500,27.5943694000,26.3373805500,27.1489796500,7278870,199371248.8500,2,300917,特发服务
2023-12-08,sz.300917,26.7233850000,26.9510286500,26.0107614000,26.0305565000,6358759,169447789.6300,2,300917,特发服务
2023-12-11,sz.300917,25.8029128500,26.0008638500,25.2189574000,25.9909663000,5022343,129770960.3800,2,300917,特发服务
2023-12-12,sz.300917,25.9909663000,27.8517057000,25.7336300000,27.8517057000,14746614,405617275.1700,2,300917,特发服务
2023-12-13,sz.300917,27.0203115000,27.4953939000,26.8322580500,27.0203115000,8635931,236860127.4500,2,300917,特发服务
2023-12-14,sz.300917,27.1192870000,27.5844718500,26.7926678500,26.8124629500,5763329,158278640.6600,2,300917,特发服务
2023-12-15,sz.300917,27.4063159500,27.8912959000,27.0203115000,27.1192870000,10376109,288655785.1800,2,300917,特发服务
2023-12-18,sz.300917,26.5254340000,27.6933449000,26.2384050500,26.2483026000,7889474,214029069.5600,2,300917,特发服务
2023-12-19,sz.300917,25.9513761000,26.8322580500,25.6049618500,25.9315810000,5646686,148567085.4200,2,300917,特发服务
2023-12-20,sz.300917,25.7039373500,25.8721957000,24.5261289000,24.6152068500,6426039,162904155.3000,2,300917,特发服务
2023-12-21,sz.300917,24.4667436000,25.5950643000,24.4172558500,25.3872157500,6501201,164346461.5400,2,300917,特发服务
2023-12-22,sz.300917,25.1991623000,25.5356790000,24.7834652000,24.8824407000,4531914,114828679.1400,2,300917,特发服务
2023-12-25,sz.300917,24.7339774500,24.9418260000,24.2588950500,24.5261289000,3200040,79026643.0300,2,300917,特发服务
2023-12-26,sz.300917,24.4469485000,24.5261289000,23.7640175500,24.0213538500,3349400,81252472.0000,2,300917,特发服务
2023-12-27,sz.300917,24.0015587500,24.5459240000,23.9817636500,24.2885877000,2831930,69282126.0000,2,300917,特发服务
2023-12-28,sz.300917,24.2390999500,25.0309039500,23.8629930500,24.8725431500,3654478,91155257.2600,2,300917,特发服务
2023-12-29,sz.300917,24.8824407000,25.2585476000,24.8032603000,25.0605966000,2794647,70528198.7100,2,300917,特发服务
2024-01-02,sz.300917,25.0605966000,25.3872157500,24.6251044000,24.8626456000,3353196,84571393.7200,2,300917,特发服务
2024-01-03,sz.300917,24.8626456000,25.5257814500,24.8329529500,24.9913137500,4281918,109104784.4700,2,300917,特发服务
2024-01-04,sz.300917,24.9319284500,24.9913137500,24.4469485000,24.6448995000,2869917,71479349.3500,2,300917,特发服务
2024-01-05,sz.300917,24.5558215500,25.2981378000,24.4469485000,24.8131578500,4010496,101249158.6400,2,300917,特发服务
2024-01-08,sz.300917,25.6148594000,26.1988148500,24.6844897000,24.7438750000,7266053,186916308.7100,2,300917,特发服务
2024-01-09,sz.300917,24.2489975000,24.6646946000,23.9421734500,24.0213538500,5822894,142569844.6400,2,300917,特发服务
2024-01-10,sz.300917,23.7937102000,24.2292024000,23.4176033000,23.7343249000,3055841,73490290.8900,2,300917,特发服务
2024-01-11,sz.300917,23.7541200000,24.6053093000,23.5660665500,24.4766411500,3964316,97240165.6200,2,300917,特发服务
2024-01-12,sz.300917,24.2292024000,25.0902892500,24.2292024000,24.5756166500,3380893,84427375.7000,2,300917,特发服务
2024-01-15,sz.300917,24.2588950500,24.8527480500,24.1104318000,24.5657191000,2497200,61778932.0000,2,300917,特发服务
2024-01-16,sz.300917,24.4667436000,24.8131578500,23.8827881500,24.3875632000,2393617,58720012.8800,2,300917,特发服务
2024-01-17,sz.300917,24.2489975000,24.3974607500,23.6452469500,23.6452469500,2140639,51712187.4300,2,300917,特发服务
